spatial_resolution [arcsec],integration_time [s],velocity_resolution [Km/s],J2000 coordinates,frequency_resolution [MHz]
12.449611637755837,5503.68,0.20145520078625453,J2000 05h35m14.5s -05d22m30.9s,0.07
12.449611637755837,5503.68,0.20145520078625453,J2000 05h35m14.5s -05d22m30.9s,0.07
12.449611637755837,5503.68,0.20145520078625453,J2000 05h35m14.5s -05d22m30.9s,0.07
12.449611637755837,5503.68,0.20145520078625453,J2000 05h35m14.5s -05d22m30.9s,0.07
12.449611637755837,5503.68,0.20145520078625453,J2000 05h35m14.5s -05d22m30.9s,0.07
12.449611637755837,5503.68,0.20145520078625453,J2000 05h35m14.5s -05d22m30.9s,0.07
12.449611637755837,5503.68,0.20145520078625453,J2000 05h35m14.5s -05d22m30.9s,0.07
7.730872961177537,846.72,2.215681601412527,J2000 14h18m27.4s -00d17m03s,1.1280000000000001
7.754279863099263,846.72,2.215681601412527,J2000 14h57m54.2s +00d00m18s,1.1280000000000001
7.754279863099263,846.72,2.215681601412527,J2000 14h57m54.2s +00d00m18s,1.1280000000000001
7.754279863099263,846.72,2.215681601412527,J2000 14h57m54.2s +00d00m18s,1.1280000000000001
7.730872961177537,846.72,2.215681601412527,J2000 14h18m27.4s -00d17m03s,1.1280000000000001
7.730872961177537,846.72,2.215681601412527,J2000 14h18m27.4s -00d17m03s,1.1280000000000001
7.730872961177537,846.72,2.215681601412527,J2000 14h18m27.4s -00d17m03s,1.1280000000000001
7.754279863099263,846.72,2.215681601412527,J2000 14h57m54.2s +00d00m18s,1.1280000000000001
0.628071623239747,1119.496,4.428892896773623,J2000 09h23m47.11699999s +04d02m54.57996139s,3.904
0.628071623239747,1119.496,4.428892896773623,J2000 09h23m47.11699999s +04d02m54.57996139s,3.904
0.628071623239747,1119.496,4.428892896773623,J2000 09h23m47.11699999s +04d02m54.57996139s,3.904
1.9805355793431505,2661.12,11.730393619017391,J2000 08h49m36.81999999s +00d14m54.7s,3.904
1.9805355793431505,2661.12,11.730393619017391,J2000 08h49m36.81999999s +00d14m54.7s,3.904
1.9805355793431505,2661.12,11.730393619017391,J2000 08h49m36.81999999s +00d14m54.7s,3.904
1.9805355793431505,2661.12,11.730393619017391,J2000 08h49m36.81999999s +00d14m54.7s,3.904
0.628071623239747,1119.496,4.428892896773623,J2000 09h23m47.11699999s +04d02m54.57996139s,3.904
1.8821698996269765,604.8,90.52858123839744,J2000 22h41m16.69999999s -54d01m07.00000008s,31.25
1.8821698996269765,604.8,90.52858123839744,J2000 22h41m16.69999999s -54d01m07.00000008s,31.25
13.02759675659552,151.2,90.52858290691503,J2000 21h20m44.83s +01d58m52.3s,31.25
13.02759675659552,151.2,90.52858290691503,J2000 21h20m44.83s +01d58m52.3s,31.25
1.8821698996269765,604.8,90.52858123839744,J2000 22h41m16.69999999s -54d01m07.00000008s,31.25
13.02759675659552,151.2,90.52858290691503,J2000 21h20m44.83s +01d58m52.3s,31.25
0.6157737956489611,816.48,4.49131288935899,J2000 04h54m08.56s -03d00m14.82s,3.904
0.6157737956489611,816.48,4.49131288935899,J2000 04h54m08.56s -03d00m14.82s,3.904
0.6157737956489611,816.48,4.49131288935899,J2000 04h54m08.56s -03d00m14.82s,3.904
13.008841981611337,151.2,90.52858290691503,J2000 21h22m04.26s +01d54m07.1s,31.25
13.008841981611337,151.2,90.52858290691503,J2000 21h22m04.26s +01d54m07.1s,31.25
0.6157737956489611,816.48,4.49131288935899,J2000 04h54m08.56s -03d00m14.82s,3.904
11.53706939074801,1248.304,0.7385371018465845,J2000 05h46m23.08800001s -52d05m23.86173854s,3.904
12.503794307601542,100.8,90.52858290691503,J2000 04h25m27.78000001s -04d15m00.2s,31.25
12.503794307601542,100.8,90.52858290691503,J2000 04h25m27.78000001s -04d15m00.2s,31.25
12.503794307601542,100.8,90.52858290691503,J2000 04h25m27.78000001s -04d15m00.2s,31.25
12.503794307601542,100.8,90.52858290691503,J2000 04h25m27.78000001s -04d15m00.2s,31.25
11.53706939074801,1248.304,0.7385371018465845,J2000 05h46m23.08800001s -52d05m23.86173854s,3.904
13.008841981611337,151.2,90.52858290691503,J2000 21h22m04.26s +01d54m07.1s,31.25
