    um                erg/s/Hz
    1.169499e-04      2.320539e-41
    1.175980e-04      2.416083e-41
    1.182497e-04      2.515561e-41
    1.189050e-04      2.619135e-41
    1.195639e-04      2.726973e-41
    1.202264e-04      2.839252e-41
    1.208927e-04      2.956153e-41
    1.215626e-04      3.077868e-41
    1.222362e-04      3.204594e-41
    1.229136e-04      3.336538e-41
    1.235947e-04      3.473915e-41
    1.242796e-04      3.616947e-41
    1.249683e-04      3.765870e-41
    1.256609e-04      3.920923e-41
    1.263572e-04      4.082361e-41
    1.270574e-04      4.250446e-41
    1.277615e-04      4.425451e-41
    1.284695e-04      4.607662e-41
    1.291814e-04      4.797376e-41
    1.298973e-04      4.994900e-41
    1.306171e-04      5.200557e-41
    1.313409e-04      5.414682e-41
    1.320687e-04      5.637624e-41
    1.328006e-04      5.869744e-41
    1.335365e-04      6.111422e-41
    1.342765e-04      6.363050e-41
    1.350206e-04      6.625039e-41
    1.357688e-04      6.897815e-41
    1.365212e-04      7.181822e-41
    1.372777e-04      7.477523e-41
    1.380384e-04      7.785399e-41
    1.388034e-04      8.105951e-41
    1.395725e-04      8.439701e-41
    1.403460e-04      8.787194e-41
    1.411237e-04      9.148993e-41
    1.419058e-04      9.525689e-41
    1.426921e-04      9.917895e-41
    1.434829e-04      1.032625e-40
    1.442780e-04      1.075142e-40
    1.450775e-04      1.119409e-40
    1.458814e-04      1.165499e-40
    1.466898e-04      1.213487e-40
    1.475027e-04      1.263450e-40
    1.483201e-04      1.315471e-40
    1.491420e-04      1.369634e-40
    1.499685e-04      1.426026e-40
    1.507995e-04      1.484741e-40
    1.516352e-04      1.545873e-40
    1.524755e-04      1.609522e-40
    1.533204e-04      1.675792e-40
    1.541700e-04      1.744790e-40
    1.550244e-04      1.816629e-40
    1.558834e-04      1.891426e-40
    1.567473e-04      1.969303e-40
    1.576159e-04      2.050386e-40
    1.584893e-04      2.134807e-40
    1.593676e-04      2.222705e-40
    1.602507e-04      2.314221e-40
    1.611388e-04      2.409506e-40
    1.620317e-04      2.508714e-40
    1.629296e-04      2.612007e-40
    1.638325e-04      2.719552e-40
    1.647404e-04      2.831526e-40
    1.656533e-04      2.948110e-40
    1.665712e-04      3.069494e-40
    1.674943e-04      3.195875e-40
    1.684225e-04      3.327461e-40
    1.693558e-04      3.464464e-40
    1.702943e-04      3.607108e-40
    1.712379e-04      3.755626e-40
    1.721869e-04      3.910258e-40
    1.731410e-04      4.071257e-40
    1.741005e-04      4.238885e-40
    1.750653e-04      4.413415e-40
    1.760354e-04      4.595131e-40
    1.770109e-04      4.784329e-40
    1.779918e-04      4.981317e-40
    1.789781e-04      5.186415e-40
    1.799700e-04      5.399958e-40
    1.809673e-04      5.622293e-40
    1.819701e-04      5.853783e-40
    1.829785e-04      6.094804e-40
    1.839924e-04      6.345748e-40
    1.850120e-04      6.607025e-40
    1.860373e-04      6.879060e-40
    1.870682e-04      7.162295e-40
    1.881049e-04      7.457192e-40
    1.891472e-04      7.764231e-40
    1.901954e-04      8.083911e-40
    1.912494e-04      8.416755e-40
    1.923092e-04      8.763302e-40
    1.933749e-04      9.124118e-40
    1.944464e-04      9.499790e-40
    1.955240e-04      9.890930e-40
    1.966075e-04      1.029817e-39
    1.976970e-04      1.072219e-39
    1.987925e-04      1.116366e-39
    1.998941e-04      1.162330e-39
    2.010018e-04      1.210188e-39
    2.021157e-04      1.260015e-39
    2.032357e-04      1.311895e-39
    2.043619e-04      1.365910e-39
    2.054944e-04      1.422149e-39
    2.066332e-04      1.480704e-39
    2.077782e-04      1.541670e-39
    2.089296e-04      1.605146e-39
    2.100874e-04      1.671236e-39
    2.112516e-04      1.740046e-39
    2.124222e-04      1.811690e-39
