Line,freq(GHz),c,err_c
CS(12–11) 510.18,587.6162,-5.980697146969965,0.2468621265555326
CS(13–12) 470.98,636.5318,-5.666720997144201,0.2538084634499524
CS(15–14) 408.26,734.324,-6.554095513399034,3.1068759090001863
CS(6–5) 1020.01,293.9122,-7.747105840292845,2.004436070322701
CS(7–6) 874.33,342.883,-7.581082926761037,1.2305010320592136
CS(8–7) 765.08,391.847,-7.054988690753303,0.5951442900155673
CaV 11.48,26114.3256097561,0.0,0.0
ClII 14.38,20847.87607788595,-5.44,0.33
FeII 17.93,16720.15939765756,-5.18,0.34
FeII 25.98,11539.35558121632,-4.29,0.44
FeIII 22.9,13091.373711790397,-6.56,0.33
H24α 669.87,447.5403,-7.410115600360517,1.5200306866613815
H2O(21-20) 398.64,752.0331,-5.140061517073861,0.1217131032085546
H2O(4-3) 788.52,380.1974,-6.680576565526499,0.2109430340672937
H2O(5-4) 631.56,474.6891,-6.322660402768077,0.2065546926125223
H2O+ 493.71,607.2273,-6.614618172055112,1.4114570661855683
H2O+ 474.56,631.7241,-6.038044894552689,0.5444886041772113
H2O+ 472.66,634.2729,-6.267808958027449,0.9576750113764017
H2O+ 415.27,721.9274,-5.82689859724376,0.5473300319876598
H2O+ 403.97,742.109,-5.187431317258224,0.131918801670271
H2O+ 401.57,746.5417,-5.308083325607802,0.1633584748443424
HCN(4-3) 845.66,354.505,-5.26,0.32
HCN(5-4) 676.71,443.016,-5.22,0.31
HCN(6–5) 563.82,531.7164,-6.497597259235119,0.5567877973118613
HCN(7–6) 483.3,620.304,-6.030555791788816,0.4222307462948282
HCN(8–7) 422.91,708.877,-5.304056253195232,0.1723659033234696
HCO+(3–2) 1120.48,267.5576,-7.054031232618804,0.4853879503624579
HCO+(4–3) 840.38,356.7342,-6.540481930530836,0.1187813967598637
HCO+(5–4) 672.33,445.9029,-6.8408598880177465,0.405341516443035
HCO+(6–5) 560.3,535.0616,-5.726382242503354,0.0922395359794517
HCO+(7–6) 480.28,624.2085,-5.675593015874646,0.2062898789040446
HCO+(8–7) 420.27,713.3414,-5.819319018802708,0.5865795599732233
HI 12.37,24235.445270816497,-4.85,0.3
HNC(3–2) 1102.25,271.9811,-7.6196631747823025,1.6779559528080186
HNC(4–3) 826.72,362.6303,-6.377794750998462,0.1125948656786208
HNC(5–4) 661.4,453.2699,-6.1035067946542965,0.1197093764220501
HNC(6–5) 551.19,543.8976,-5.951940636313557,0.1730392076333269
H_2 12.28,24413.066612377854,-4.12,0.54
H_2 17.03,17603.78496770405,-4.04,0.46
H_2 6.91,43385.30506512301,-3.97,0.39
H_2 9.66,31034.415942028987,-3.96,0.52
LiH(1–0) 675.28,443.9529,-7.545540091210499,2.099089995865717
MgV 13.5,22206.848740740745,0.0,0.0
N2H+(5–4) 643.57,465.825,-7.357943668418542,1.791464737850914
N2H+(6–5) 536.33,558.9667,-6.819424242948118,1.4114570661855683
N2H+(8–7) 402.29,745.2103,-5.694622977149711,0.4728984358502075
NH3(10-00) 523.66,572.4982,-6.259985896872033,0.4745069339313307
NII 121.9,2459.331074651353,-3.49,0.36
NII 205.18,1461.119300126718,-4.09,0.37
NIII 57.32,5230.154535938591,-3.26,0.16
NeII 12.81,23403.00218579235,-3.11,0.45
NeIII 15.55,19279.257749196146,-3.69,0.47
NeV 14.32,20935.22751396648,0.0,0.0
NeV 24.31,12332.06326614562,0.0,0.0
NeVI 7.65,39188.5566013072,0.0,0.0
OH 671.74,446.291,-6.61787764242664,0.243204909865821
OI 145.52,2060.1460830126443,-3.8,0.43
OI 63.18,4745.053149730928,-2.93,0.3
OIII 51.81,5786.382127002509,-2.84,0.44
OIII 88.36,3392.8526256224536,-2.92,0.48
OIV 25.89,11579.46921591348,0.0,0.0
PAH 11.25,26648.218488888888,-2.29,0.36
PAH 12.7,23605.705354330712,-2.2,0.33
PAH 3.3,90846.19939393942,-3.11,0.3
PAH 6.2,48353.62225806452,-2.2,0.36
PAH 7.7,38934.08545454546,-1.64,0.36
PAH 8.6,34859.58813953489,-2.16,0.36
SIII 18.71,16023.11373597007,-3.49,0.48
SIII 33.48,8954.37449223417,-3.05,0.31
SIV 10.49,28578.88064823642,-3.95,0.69
