science_keyword,band_list
"Lyman Break Galaxies (LBG), Starburst galaxies",5
Galaxy groups and clusters,3
"Surveys of galaxies, Galaxy groups and clusters",7
"Lyman Alpha Emitters/Blobs (LAE/LAB), Sub-mm Galaxies (SMG)",9
"Galactic centres/nuclei, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",5
"High-mass star formation, Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",4
"Outflows, jets and ionized winds, Low-mass star formation",8
Early-type galaxies,7
"Outflows, jets, feedback, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",10
"Outflows, jets and ionized winds, High-mass star formation",8
"Active Galactic Nuclei (AGN)/Quasars (QSO), Outflows, jets, feedback",9
"Asymptotic Giant Branch (AGB) stars, Evolved stars - Shaping/physical structure",9
Low-mass star formation,1
"Disks around low-mass stars, Brown dwarfs",3
"Galaxy structure & evolution, Surveys of galaxies",7
"Merging and interacting galaxies, Inter-Stellar Medium (ISM)/Molecular clouds",7
"Cataclysmic stars, Transients",6
Gravitational lenses,3
"The Sun, Main sequence stars",9
"Cosmic Microwave Background (CMB)/Sunyaev-Zel'dovich Effect (SZE), Galaxy structure & evolution",3
"Outflows, jets and ionized winds, Intermediate-mass star formation",6
"Inter-Stellar Medium (ISM)/Molecular clouds, Astrochemistry",3
"Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG), Galaxy chemistry",6
"Galaxy structure & evolution, Galaxy chemistry",3
"Black holes, Active Galactic Nuclei (AGN)/Quasars (QSO)",7
"Black holes, Active Galactic Nuclei (AGN)/Quasars (QSO)",9
Disks around high-mass stars,9
Black holes,3 6 7
"Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG), Starbursts, star formation",7
"Evolved stars - Chemistry, Asymptotic Giant Branch (AGB) stars",9
"Lyman Alpha Emitters/Blobs (LAE/LAB), Galaxy structure & evolution",6
"Outflows, jets, feedback, Galactic centres/nuclei",9
"Early-type galaxies, Galactic centres/nuclei",7
"Active Galactic Nuclei (AGN)/Quasars (QSO), Early-type galaxies",6
,3
"Intermediate-mass star formation, Astrochemistry",5
