science_keyword,band_list
"Inter-Stellar Medium (ISM)/Molecular clouds, Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR)",10
"High-z Active Galactic Nuclei (AGN), Cosmic Microwave Background (CMB)/Sunyaev-Zel'dovich Effect (SZE)",4
"Lyman Break Galaxies (LBG), Gravitational lenses",8
"High-mass star formation, Magellanic Clouds",8
Disks around low-mass stars,10
"Spiral galaxies, Giant Molecular Clouds (GMC) properties",8
"Merging and interacting galaxies, Outflows, jets, feedback",4
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC), Astrochemistry",4
"Spiral galaxies, Galactic centres/nuclei",6
"Surveys of galaxies, Galactic centres/nuclei",3
Solar system - Comets,10
"Spiral galaxies, Galaxy groups and clusters",7
"Outflows, jets and ionized winds",9
Dwarf/metal-poor galaxies,9
"Outflows, jets and ionized winds, Inter-Stellar Medium (ISM)/Molecular clouds",7
"Lyman Alpha Emitters/Blobs (LAE/LAB), Galaxy structure & evolution",4
"Starbursts, star formation",1
"Gravitational lenses, Sub-mm Galaxies (SMG)",6
,7
High-mass star formation,10
"Outflows, jets, feedback, Galactic centres/nuclei",7
"Starbursts, star formation, Dwarf/metal-poor galaxies",7
"Supernovae (SN) ejecta, Pulsars and neutron stars",3
"Solar system - Planetary atmospheres, Solar system - Trans-Neptunian Objects (TNOs)",6
"Solar system - Trans-Neptunian Objects (TNOs), Solar system - Asteroids",6
"Outflows, jets and ionized winds, Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",6
"The Sun, Main sequence stars",3
"The Sun, Main sequence stars",6
"The Sun, Main sequence stars",7
"Lyman Break Galaxies (LBG), Gamma Ray Bursts (GRB)",6
"Luminous Blue Variables (LBV), Evolved stars: Shaping/physical structure",9
HII regions,9
"Lyman Break Galaxies (LBG), High-z Active Galactic Nuclei (AGN)",8
"Lyman Break Galaxies (LBG), High-z Active Galactic Nuclei (AGN)",6
"Post-AGB stars, Transients",3
Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG),9
"Early-type galaxies, Giant Molecular Clouds (GMC) properties",3
"Lyman Break Galaxies (LBG), Gravitational lenses",6
Damped Lyman Alpha (DLA) systems,3
"Inter-Stellar Medium (ISM)/Molecular clouds, Magellanic Clouds",3
Disks around low-mass stars,3
Merging and interacting galaxies,3
Galaxy structure & evolution,7
"Lyman Alpha Emitters/Blobs (LAE/LAB), High-z Active Galactic Nuclei (AGN)",4
Giant Molecular Clouds (GMC) properties,3
Spiral galaxies,4
"Galaxy structure & evolution, Galaxy Clusters",3
"High-z Active Galactic Nuclei (AGN), Gravitational lenses",6
"Starbursts, star formation, Active Galactic Nuclei (AGN)/Quasars (QSO)",5
"Starbursts, star formation, Surveys of galaxies",6
Surveys of galaxies,3
"Active Galactic Nuclei (AGN)/Quasars (QSO), Galaxy groups and clusters",3
"Asymptotic Giant Branch (AGB) stars, Evolved stars - Chemistry",6
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",3
"Surveys of galaxies, Galaxy groups and clusters",3
"Active Galactic Nuclei (AGN)/Quasars (QSO), Giant Molecular Clouds (GMC) properties",7
"High-mass star formation, Inter-Stellar Medium (ISM)/Molecular clouds",6
"Active Galactic Nuclei (AGN)/Quasars (QSO), Galaxy chemistry",7
"High-mass star formation, Intermediate-mass star formation",3
"Active Galactic Nuclei (AGN)/Quasars (QSO), Galaxy chemistry",8
"Surveys of galaxies, Galactic centres/nuclei",6
"Starbursts, star formation, Galaxy chemistry",4
"Low-mass star formation, Inter-Stellar Medium (ISM)/Molecular clouds",4
Sub-mm Galaxies (SMG),7
"Asymptotic Giant Branch (AGB) stars, Post-AGB stars",6
"Active Galactic Nuclei (AGN)/Quasars (QSO), Merging and interacting galaxies",8
Post-AGB stars,3
Lyman Alpha Emitters/Blobs (LAE/LAB),6
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC), Inter-Stellar Medium (ISM)/Molecular clouds",6
"Lyman Break Galaxies (LBG), Gravitational lenses",7
Low-mass star formation,4
"Surveys of galaxies, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",3
"High-mass star formation, Magellanic Clouds",6
"Asymptotic Giant Branch (AGB) stars, Evolved stars - Shaping/physical structure",3
"Spiral galaxies, Surveys of galaxies",6
"Sub-mm Galaxies (SMG), Damped Lyman Alpha (DLA) systems",7
"Sub-mm Galaxies (SMG), High-z Active Galactic Nuclei (AGN)",5
"High-z Active Galactic Nuclei (AGN), Galaxy structure & evolution",10
Magellanic Clouds,3
Evolved stars - Chemistry,8
"Active Galactic Nuclei (AGN)/Quasars (QSO), Merging and interacting galaxies",4
"Outflows, jets and ionized winds",3
"High-z Active Galactic Nuclei (AGN), Gravitational lenses",7
"Early-type galaxies, Galaxy groups and clusters",3
"Starburst galaxies, High-z Active Galactic Nuclei (AGN)",9
"High-z Active Galactic Nuclei (AGN), Galaxy Clusters",8
Asymptotic Giant Branch (AGB) stars,8
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC), Inter-Stellar Medium (ISM)/Molecular clouds",3
"Low-mass star formation, Magellanic Clouds",6
Dwarf/metal-poor galaxies,6
"Gravitational lenses, Galaxy structure & evolution",6
"Evolved stars - Shaping/physical structure, Supernovae (SN) ejecta",3
"Galactic centres/nuclei, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",7
Solar system - Asteroids,6
Solar system - Asteroids,3
Intermediate-mass star formation,3
"Starburst galaxies, Gamma Ray Bursts (GRB)",3
"Spiral galaxies, Surveys of galaxies",3
"Disks around low-mass stars, Disks around high-mass stars",8
Evolved stars - Shaping/physical structure,4
"Lyman Break Galaxies (LBG), Galaxy structure & evolution",9
Merging and interacting galaxies,7
"High-mass star formation, Inter-Stellar Medium (ISM)/Molecular clouds",8
"Lyman Break Galaxies (LBG), Gravitational lenses",3
"Galactic centres/nuclei, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",3
"Active Galactic Nuclei (AGN)/Quasars (QSO), Galactic centres/nuclei",8
"High-mass star formation, Low-mass star formation",7
"Debris disks, Solar system - Comets",4
"Cataclysmic stars, Supernovae (SN) ejecta",6
"Sub-mm Galaxies (SMG), Galaxy Clusters",5
"Starburst galaxies, Galaxy Clusters",3
Hypergiants,7
"High-mass star formation, Astrochemistry",7
"Merging and interacting galaxies, Galactic centres/nuclei",5
"High-z Active Galactic Nuclei (AGN), Galaxy Clusters",4
Black holes,6
"Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR), HII regions",6
"High-z Active Galactic Nuclei (AGN), Galaxy structure & evolution",5
"High-mass star formation, HII regions",7
"Starbursts, star formation",4
"Outflows, jets and ionized winds, Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR)",3
"Astrochemistry, Magellanic Clouds",8
"Lyman Alpha Emitters/Blobs (LAE/LAB), Sub-mm Galaxies (SMG)",4
"Post-AGB stars, Evolved stars - Shaping/physical structure",3
Starburst galaxies,10
"High-mass star formation, Intermediate-mass star formation",4
"Evolved stars - Chemistry, Transients",7
"Starbursts, star formation, Spiral galaxies",4
"High-mass star formation, Inter-Stellar Medium (ISM)/Molecular clouds",9
Galaxy chemistry,7
"Disks around high-mass stars, Exo-planets",3
"Starburst galaxies, High-z Active Galactic Nuclei (AGN)",10
"Galaxy chemistry, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",3
"Disks around low-mass stars, Exo-planets",8
Disks around low-mass stars,1
"Surveys of galaxies, Early-type galaxies",3
Low-mass star formation,10
"Galaxy structure & evolution, Gamma Ray Bursts (GRB)",7
"Disks around low-mass stars, Brown dwarfs",7
"Debris disks, White dwarfs",6
"Debris disks, White dwarfs",7
"Outflows, jets and ionized winds, Low-mass star formation",4
"The Sun, Main sequence stars",8
"Cosmic Microwave Background (CMB)/Sunyaev-Zel'dovich Effect (SZE), Galaxy structure & evolution",7
"Galaxy structure & evolution, Galaxy chemistry",6
"Giant Molecular Clouds (GMC) properties, Inter-Stellar Medium (ISM)/Molecular clouds",3
"Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR), Inter-Stellar Medium (ISM)/Molecular clouds",3
"Outflows, jets, feedback, Galaxy Clusters",3
"High-mass star formation, Disks around high-mass stars",7
"Gravitational lenses, Sub-mm Galaxies (SMG)",4 6 7
,3 6
"Outflows, jets and ionized winds, Astrochemistry",5
"Lyman Break Galaxies (LBG), Sub-mm Galaxies (SMG)",6
The Sun,3
Active Galactic Nuclei (AGN)/Quasars (QSO),6
"Disks around low-mass stars, Exo-planets",6
"Starbursts, star formation, Merging and interacting galaxies",8
"Starburst galaxies, Sub-mm Galaxies (SMG)",8
"Pulsars and neutron stars, Transients",7
"Starbursts, star formation, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",7
"Early-type galaxies, Giant Molecular Clouds (GMC) properties",6
"Outflows, jets, feedback, Galaxy chemistry",3
Damped Lyman Alpha (DLA) systems,8
"Lyman Alpha Emitters/Blobs (LAE/LAB), Starburst galaxies",6
"Main sequence stars, Brown dwarfs",3
"Inter-Stellar Medium (ISM)/Molecular clouds, Magellanic Clouds",6
High-z Active Galactic Nuclei (AGN),7
"Starburst galaxies, Sub-mm Galaxies (SMG)",6
"Sub-mm Galaxies (SMG), High-z Active Galactic Nuclei (AGN)",7
"Sub-mm Galaxies (SMG), High-z Active Galactic Nuclei (AGN)",6
Post-AGB stars,6
"Spiral galaxies, Galaxy chemistry",7
"Spiral galaxies, Galaxy chemistry",6
Galaxy structure & evolution,3
High-z Active Galactic Nuclei (AGN),6
Asymptotic Giant Branch (AGB) stars,9
Asymptotic Giant Branch (AGB) stars,6
Evolved stars - Chemistry,6
"Starbursts, star formation, Spiral galaxies",7
"Low-mass star formation, Astrochemistry",4
Galactic centres/nuclei,6
"Asymptotic Giant Branch (AGB) stars, Evolved stars - Shaping/physical structure",6
"Merging and interacting galaxies, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",3
Galaxy Clusters,3
Lyman Break Galaxies (LBG),5
"High-z Active Galactic Nuclei (AGN), Gravitational lenses",4
"Merging and interacting galaxies, Outflows, jets, feedback",7
Inter-Stellar Medium (ISM)/Molecular clouds,3
Giant Molecular Clouds (GMC) properties,6
Asymptotic Giant Branch (AGB) stars,4
"Starburst galaxies, High-z Active Galactic Nuclei (AGN)",4
"Outflows, jets and ionized winds",6
"Astrochemistry, Inter-Stellar Medium (ISM)/Molecular clouds",4
"Hypergiants, Evolved stars - Shaping/physical structure",3
"Surveys of galaxies, Giant Molecular Clouds (GMC) properties",6
Solar system - Trans-Neptunian Objects (TNOs),6
"Sub-mm Galaxies (SMG), Gravitational lenses",5
"Sub-mm Galaxies (SMG), Galaxy Clusters",7
"Lyman Alpha Emitters/Blobs (LAE/LAB), Lyman Break Galaxies (LBG)",6
Lyman Break Galaxies (LBG),6
"Starburst galaxies, Sub-mm Galaxies (SMG)",9
Disks around high-mass stars,4
Inter-Stellar Medium (ISM)/Molecular clouds,5
"Disks around low-mass stars, Disks around high-mass stars",9
Active Galactic Nuclei (AGN)/Quasars (QSO),5
Disks around low-mass stars,8
