ALMA_source_name,Band
J1924-2914,6
J1939-1525,6
MACS0329_z1,6
J0825+0309,6
J1008+0621,3
J1700-2610,6
J1924-2914,6
Titan,6
J1517-2422,7
J1939-1525,6
J1427-4206,7
Titan,7
J1751+0939,7
J1924-2914,6
113083,6
J0607-0834,7
J1008+0621,7
J1347+1217,7
Sgr_A_star,7
Sgr_A_star,6
J1733-1304,6
J1924-2914,6
J1347+1217,7
J1517-2422,3
J1517-2422,3
J0629-1959,3
J1851+0035,6
J1733-1304,6
J1037-2934,3
J0137-2430,3
J1744-3116,3
J1733-1304,6
J1427-4206,7
J1626-2951,7
J1337-1257,7
J1626-2951,6
Pallas,6
J1107-4449,6
rxj0806,6
J1037-2934,6
J1239+0730,7
J1733-1304,7
J2148+069,7
J1626-2951,7
J1427-4206,9
J0522-3627,7
J1229+0203,7
J1256-0547,9
J2025+3343,6
Ceres,3
J1308-6707,3
J1517-2422,6
IRAS_16293-2422,6
SgrA_star,6 7
BD7_GY204,7
J2223-3137,6
PKS0745-19,3
J1037-2934,3
Pallas,3
J1229+0203,3
Centaurus_A,7
J1229+0203,7
Arp220,7
J1955+1358,7
J1924-2914,6
J1308-6707,3
J0038-2459,6
J1107-4449,3
BD5_CFHTWIR-Oph_96,7
J1924-2914,7
J1550+0527,7
J1516+1932,7
J1037-2934,6
J1107-4449,6
J1131-5818,6
J1733-1304,7
Fomalhaut,7
J1924-2914,7
NGC_7469,6
J1751+096,6
highz_cell5_39090,6
J1540+1447,6
J1427-4206,6
J1229+0203,7
highz_cell2_157114,6
Pallas,6
J11122441-7637064,7
J1256-0547,9
HBC722,6
J1325-4301,6
J1924-2914,8
J1733-130,6
J1342-2900,3
J1325-4301,6
J1337-1257,6
Ceres,3
J1427-4206,7
J0215-0222,6
J0607-0834,3
G33.92+0.11,6
J1833-2103,7
I_Zw_1,6
J1733-1304,7
J2148+0657,6
MSDM_29.5_5,7
J1733-1304,7
SSA22-AZ038,6
SSA22-AZ077,6
J2056-472,6
IRAS_20551-4250,6
J0438+3004,7
Mars,7
J1550+0527,3
J1329-5608,7
J0607-0834,7
f15,7
J1733-130,7
J0006-0623,7
NGC253,7
J1058+0133,4
J1427-4206,6
J1427-4206,6
Ceres,3
Titan,6
J1851+0035,7
J2258-279,7
CHXR_37,7
J1337-1257,6
HD141569,7
hd_163296,7
J1037-2934,3
J1504+1029,3
J0051-4226,3
Neptune,3
J2258-2758,3
J2148+0657,7
J1008+0621,7
J1911-2006,7
J2357-5311,6
J1833-210,6 7
IC5063,6
J2056-4714,6
J0149+0555,3
NGC4945,7
J0237+2848,6
J1733-1304,6
J1517-2422,7
sgrb2_n,6
NGC253,6
J2056-4714,6
J1215-1731,6
J0145-2733,3
IRAS_19115-2124,3
J2148+0657,6
J0051-4226,3
J2258-279,7
J1636-4102,6
J1744-3116,6
J1851+0035,6
J1924-2914,6
ID3_highz,6
NGC_4418,6
J0051-4226,3
J1427-4206,6
G302.4867-00.0308,6
J1310+3220,6
J1625-2527,7
Titan,7
J1534-3526,7
J1625-2527,7
J2056-4714,7
J2056-4714,7
J1625-2527,7
J1851+0035,7
J1751+096,7
J0145-2733,7
J0215-0222,7
J0635-7516,3
J0538-4405,3
J0334-4008,3
J0609-1542,3
J1321-4342,3
J1550+0527,7
J1517-243,9
Oph_B-11,7
J1745-2900,7
J1924-292,6
J2056-4714,3
Oph_B-11,7
J1733-130,6
J1248-4559,6
J2148+069,6
J0334-401,6
J0102-7546,6
J1625-2527,7
J1625-2527,7
J1058+0133,6
IRAS16293-2422,7
J1321-4342,3
J1550+054,6
Neptune,7
J1427-4206,3
J1924-2914,7
J0217+0144,7
J1427-4206,3
J1517-2422,7
J1617-5848,6
J2148+0657,6
CTA102,6
J0423-0120,6
J1751+0939,7
Titan,7
J1516+1932,7
J1625-2527,7
Neptune,7
J1717-3342,7
Uranus,7
J0145-2733,7
J0510+180,7
J0607-0834,6
J1008+0621,7
J1058+0133,7
J1303-5540,7
2MASS_J16041740-1942287,7
J1625-2527,7
Titan,7
J1625-2527,7
J0538-4405,6
J0423-013,7
IRAS04365+2535,6
lkca_15,6
J0510+180,6
HH212,7
J1058+0133,7
J1427-4206,6
IRAS16293_AB,7
J1516+1932,7
Arp220,7
J1516+1932,7
Titan,7
2MASS_J16061330-2212537,7
HD_131835,7
J2357-5311,6
3C446,6
J0217+0144,9
J0241-0815,6
J0423-0120,6
J0423-0120,3
J0116-2052,3
J1229+0203,9
J1517-2422,7
J1517-2422,7
IRAS16293-2422,7
J2134-0153,6
J0238+1636,3
IRAS_18162-2048,3
3C446,3
J2258-2758,6
CTA102,7
J0238+166,6
J1147-3812,7
J1458+0416,3
J1744-3116,3
Titan,7
J2225-0457,7
J2258-2758,6
J0038-2459,3
ACTJ0102_s2,7
J0149+0555,7
J0854+2006,6
ngc1566,6
Ganymede,6
J0956+2515,7
