    um                erg/s/Hz  
    4.373207e-05      1.417315e-22
    4.397441e-05      1.425240e-22
    4.421809e-05      1.433210e-22
    4.446313e-05      1.441224e-22
    4.470952e-05      1.449283e-22
    4.495728e-05      1.457387e-22
    4.520641e-05      1.465536e-22
    4.545692e-05      1.473731e-22
    4.570882e-05      1.481973e-22
    4.596211e-05      1.490260e-22
    4.621681e-05      1.498594e-22
    4.647292e-05      1.506974e-22
    4.673045e-05      1.515401e-22
    4.698941e-05      1.523876e-22
    4.724980e-05      1.532398e-22
    4.751164e-05      1.540968e-22
    4.777492e-05      1.549586e-22
    4.803967e-05      1.558252e-22
    4.830588e-05      1.566967e-22
    4.857357e-05      1.575730e-22
    4.884274e-05      1.584543e-22
    4.911340e-05      1.593405e-22
    4.938556e-05      1.602317e-22
    4.965923e-05      1.611278e-22
    4.993442e-05      1.620290e-22
    5.021113e-05      1.629353e-22
    5.048938e-05      1.638466e-22
    5.076916e-05      1.647630e-22
    5.105050e-05      1.656846e-22
    5.133340e-05      1.666113e-22
    5.161786e-05      1.675432e-22
    5.190390e-05      1.684803e-22
    5.219153e-05      1.694227e-22
    5.248075e-05      1.703704e-22
    5.277157e-05      1.713234e-22
    5.306400e-05      1.722817e-22
    5.335806e-05      1.732454e-22
    5.365374e-05      1.742145e-22
    5.395106e-05      1.751891e-22
    5.425003e-05      1.761690e-22
    5.455066e-05      1.771545e-22
    5.485295e-05      1.781455e-22
    5.515692e-05      1.791421e-22
    5.546257e-05      1.801442e-22
    5.576992e-05      1.811520e-22
    5.607897e-05      1.821654e-22
    5.638973e-05      1.831845e-22
    5.670221e-05      1.842093e-22
    5.701643e-05      1.852398e-22
    5.733238e-05      1.862762e-22
    5.765009e-05      1.873183e-22
    5.796956e-05      1.883663e-22
    5.829080e-05      1.894201e-22
    5.861382e-05      1.904799e-22
    5.893863e-05      1.915456e-22
    5.926523e-05      1.926172e-22
    5.959365e-05      1.936949e-22
    5.992389e-05      1.947786e-22
    6.025596e-05      1.958684e-22
    6.058987e-05      1.969643e-22
    6.092563e-05      1.980663e-22
    6.126325e-05      1.991745e-22
    6.160274e-05      2.002889e-22
    6.194411e-05      2.014096e-22
    6.228737e-05      2.025365e-22
    6.263254e-05      2.036698e-22
    6.297961e-05      2.048094e-22
    6.332862e-05      2.059554e-22
    6.367955e-05      2.071078e-22
    6.403243e-05      2.082667e-22
    6.438727e-05      2.094321e-22
    6.474407e-05      2.106040e-22
    6.510285e-05      2.117825e-22
    6.546362e-05      2.129676e-22
    6.582638e-05      2.141593e-22
    6.619116e-05      2.153577e-22
    6.655796e-05      2.165628e-22
    6.692679e-05      2.177747e-22
    6.729767e-05      2.189934e-22
    6.767060e-05      2.202188e-22
    6.804559e-05      2.214512e-22
    6.842267e-05      2.226905e-22
    6.880183e-05      2.239367e-22
    6.918310e-05      2.251899e-22
    6.956648e-05      2.264501e-22
    6.995198e-05      2.277174e-22
    7.033962e-05      2.289918e-22
    7.072940e-05      2.302733e-22
    7.112135e-05      2.315620e-22
    7.151547e-05      2.328580e-22
    7.191177e-05      2.341612e-22
    7.231027e-05      2.354717e-22
    7.271098e-05      2.367895e-22
    7.311391e-05      2.381147e-22
    7.351907e-05      2.394474e-22
    7.392648e-05      2.407875e-22
    7.433614e-05      2.421351e-22
    7.474807e-05      2.434903e-22
    7.516229e-05      2.448531e-22
    7.557880e-05      2.462235e-22
    7.599762e-05      2.476016e-22
    7.641876e-05      2.489874e-22
    7.684224e-05      2.503810e-22
    7.726806e-05      2.517824e-22
    7.769624e-05      2.531916e-22
    7.812679e-05      2.546087e-22
    7.855973e-05      2.560338e-22
    7.899507e-05      2.574669e-22
    7.943282e-05      2.589080e-22
    7.987300e-05      2.603571e-22
    8.031562e-05      2.618144e-22
    8.076069e-05      2.632799e-22
    8.120822e-05      2.647535e-22
    8.165824e-05      2.662354e-22
    8.211075e-05      2.677257e-22
    8.256576e-05      2.692242e-22
    8.302330e-05      2.707312e-22
    8.348338e-05      2.722466e-22
    8.394600e-05      2.737705e-22
    8.441119e-05      2.753029e-22
    8.487895e-05      2.768439e-22
    8.534931e-05      2.783936e-22
    8.582227e-05      2.799519e-22
    8.629785e-05      2.815190e-22
    8.677607e-05      2.830948e-22
    8.725694e-05      2.846795e-22
    8.774048e-05      2.862730e-22
    8.822669e-05      2.878755e-22
    8.871560e-05      2.894869e-22
    8.920722e-05      2.911074e-22
    8.970156e-05      2.927369e-22
    9.019864e-05      2.943756e-22
    9.069848e-05      2.960234e-22
    9.120108e-05      2.976805e-22
    9.170647e-05      2.993468e-22
    9.221467e-05      3.010225e-22
    9.272567e-05      3.027076e-22
    9.323951e-05      3.044021e-22
    9.375620e-05      3.061061e-22
    9.427575e-05      3.078196e-22
    9.479818e-05      3.095427e-22
    9.532350e-05      3.112755e-22
    9.585174e-05      3.130180e-22
    9.638290e-05      3.147702e-22
    9.691701e-05      3.165323e-22
    9.745407e-05      3.183042e-22
    9.799412e-05      3.200860e-22
    9.853715e-05      3.218778e-22
    9.908319e-05      3.236797e-22
    9.963226e-05      3.254916e-22
    1.001844e-04      3.273136e-22
    1.007395e-04      3.291459e-22
    1.012978e-04      3.309884e-22
    1.018591e-04      3.328413e-22
    1.024236e-04      3.347045e-22
    1.029912e-04      3.365781e-22
    1.035619e-04      3.384622e-22
    1.041358e-04      3.403569e-22
    1.047129e-04      3.422622e-22
    1.052931e-04      3.441781e-22
    1.058766e-04      3.461048e-22
    1.064633e-04      3.480422e-22
    1.070533e-04      3.499905e-22
    1.076465e-04      3.519496e-22
    1.082430e-04      3.539198e-22
    1.088429e-04      3.559010e-22
    1.094460e-04      3.578932e-22
    1.100525e-04      3.598966e-22
    1.106624e-04      3.619112e-22
